OBJECTID,LOCATION,NAME,PUMPTYPE,CAPACITY,RES_TYPE,WARDNO,State,U_ID,District,City_Name,Cost_Value
"40",,,,"4546",PUMP HOUSE,"65",Andhra Pradesh,"40",Vishakhapattanam,Vishakhapattanam,409140.00000000000
"41",,,,"0",ELSR,"65",Andhra Pradesh,"41",Vishakhapattanam,Vishakhapattanam,0.00000000000
"42",,,,"500",GLSR,"34",Andhra Pradesh,"42",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"43",Ajaykallam nagar,AJAYKALLAM NAGAR,,"500",GLSR,"38",Andhra Pradesh,"43",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"44",Vuda Colony,VUDA COLONY,,"300",PUMP HOUSE-GLSR,"47",Andhra Pradesh,"44",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"45",Zone-1,ZONE-1,,"800",ELSR,"47",Andhra Pradesh,"45",Vishakhapattanam,Vishakhapattanam,72000.00000000000
"46",Mulagada,MULAGADA,PUMPING,"300",PUMP HOUSE-GLSR,"47",Andhra Pradesh,"46",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"47",Ex Serviceman Colony,EX SERVICEMAN COLONY,,"150",GLSR,"47",Andhra Pradesh,"47",Vishakhapattanam,Vishakhapattanam,13500.00000000000
"48",New-Exserviceman Colony,NEW-EXSERVICEMAN COLONY,,"300",GLSR,"47",Andhra Pradesh,"48",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"49",Indira Colony-2,INDIRA COLONY-2,,"300",GLSR,"48",Andhra Pradesh,"49",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"50",,,,"0",PUMP HOUSE,"48",Andhra Pradesh,"50",Vishakhapattanam,Vishakhapattanam,0.00000000000
"51",,,,"0",,"48",Andhra Pradesh,"51",Vishakhapattanam,Vishakhapattanam,0.00000000000
"52",Industrial Colony,INDUSTRIAL COLONY,,"800",ELSR,"48",Andhra Pradesh,"52",Vishakhapattanam,Vishakhapattanam,72000.00000000000
"53",Janatha Colony,JANATHA COLONY,,"300",GLSR,"48",Andhra Pradesh,"53",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"54",,,,"0",GLSR,"45",Andhra Pradesh,"54",Vishakhapattanam,Vishakhapattanam,0.00000000000
"55",,,,"0",,"45",Andhra Pradesh,"55",Vishakhapattanam,Vishakhapattanam,0.00000000000
"56",Durga Nagar,DURGA NAGAR,,"300",ELSR,"49",Andhra Pradesh,"56",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"57",Kakarlova,KAKARLOVA,,"300",GLSR,"49",Andhra Pradesh,"57",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"58",Jai Andhra Colony,JAI ANDHRA COLONY,,"300",GLSR,"49",Andhra Pradesh,"58",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"59",A.U.Outgate,A.U.OUTGATE,,"500",ELSR,"18",Andhra Pradesh,"59",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"60",CHILAKA PETA,CHILAKA PETA,GRAVITY,"1500",ELSR,"26",Andhra Pradesh,"60",Vishakhapattanam,Vishakhapattanam,135000.00000000000
"61",,,,"0",PUMP HOUSE,"26",Andhra Pradesh,"61",Vishakhapattanam,Vishakhapattanam,0.00000000000
"62",KODIPANDALU VEEDI,KODIPANDALU VEEDI,GRAVITY,"60",ELSR,"23",Andhra Pradesh,"62",Vishakhapattanam,Vishakhapattanam,5400.00000000000
"63",A.V.N. COLLAGE,A.V.N. NEW TANK,GRAVITY,"1500",ELSR,"23",Andhra Pradesh,"63",Vishakhapattanam,Vishakhapattanam,135000.00000000000
"64",A.V.N.COLLAGE,A.V.N. OLD TANK,GRAVITY,"1150",ELSR,"23",Andhra Pradesh,"64",Vishakhapattanam,Vishakhapattanam,103500.00000000000
"65",SATYANARAYANA TEMPLE,SATYANARAYANA TEMPLE,GRAVITY,"115",GLSR,"23",Andhra Pradesh,"65",Vishakhapattanam,Vishakhapattanam,10350.00000000000
"66",CHOUTRY,CHOUTRY PUMP HOUSE,PUMPING,"150",ELSR,"21",Andhra Pradesh,"66",Vishakhapattanam,Vishakhapattanam,13500.00000000000
"67",Rajarammohan Rai Road,DYKES TANK,GRAVITY,"1000",ELSR,"26",Andhra Pradesh,"67",Vishakhapattanam,Vishakhapattanam,90000.00000000000
"68",CIRCUIT HOUSE,CIRCUIT HOUSE RESERVOIR,GRAVITY,"4500",GLSR,"19",Andhra Pradesh,"68",Vishakhapattanam,Vishakhapattanam,405000.00000000000
"69",DASAPALLA HILLS,DASAPALLA HILLS RESERVOIR,,"1000",GLSR,"19",Andhra Pradesh,"69",Vishakhapattanam,Vishakhapattanam,90000.00000000000
"70",,,,"0",,"19",Andhra Pradesh,"70",Vishakhapattanam,Vishakhapattanam,0.00000000000
"71",,,,"0",,"28",Andhra Pradesh,"71",Vishakhapattanam,Vishakhapattanam,0.00000000000
"72",T.S.R COMPLEX,VENKATESWARA METTA RESERVOIR,,"6000",ELSR,"27",Andhra Pradesh,"72",Vishakhapattanam,Vishakhapattanam,540000.00000000000
"73",HLR premises back side of comissioner bunglow,HLR PREMISES BACK SIDE OF COMISSIONER BUNGLOW,,"360",ELSR-GLSR,"19",Andhra Pradesh,"73",Vishakhapattanam,Vishakhapattanam,32400.00000000000
"74",Resavanipalem Block-7,RESAVANIPALEM BLOCK-7,,"2000",GLSR,"16",Andhra Pradesh,"74",Vishakhapattanam,Vishakhapattanam,180000.00000000000
"75",,,,"0",,"9",Andhra Pradesh,"75",Vishakhapattanam,Vishakhapattanam,0.00000000000
"76",,,,"0",,"11",Andhra Pradesh,"76",Vishakhapattanam,Vishakhapattanam,0.00000000000
"77",Thatichattla palem,THATICHATTLA PALEM,,"1000",ELSR,"34",Andhra Pradesh,"77",Vishakhapattanam,Vishakhapattanam,90000.00000000000
"78",Tikkavani palem,TIKKAVANI PALEM,,"400",GLSR,"35",Andhra Pradesh,"78",Vishakhapattanam,Vishakhapattanam,36000.00000000000
"79",Ramjee estate (sweepers colony),RAMJEE ESTATE (SWEEPERS COLONY),,"450",GLSR,"35",Andhra Pradesh,"79",Vishakhapattanam,Vishakhapattanam,40500.00000000000
"80",Ramjee estate,RAMJEE ESTATE,,"300",GLSR,"35",Andhra Pradesh,"80",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"81",Bhapujinagar,BHAPUJINAGAR,,"100",GLSR,"37",Andhra Pradesh,"81",Vishakhapattanam,Vishakhapattanam,9000.00000000000
"82",Indira nagar,INDIRA NAGAR,,"300",GLSR,"37",Andhra Pradesh,"82",Vishakhapattanam,Vishakhapattanam,27000.00000000000
"83",Burmacamp,BURMACAMP,,"2270",GLSR,"38",Andhra Pradesh,"83",Vishakhapattanam,Vishakhapattanam,204300.00000000000
"84",Srinivasa nagar,SRINIVASA NAGAR,,"450",GLSR,"37",Andhra Pradesh,"84",Vishakhapattanam,Vishakhapattanam,40500.00000000000
"85",NGGOS Colony,NGGOS COLONY,,"600",GLSR,"38",Andhra Pradesh,"85",Vishakhapattanam,Vishakhapattanam,54000.00000000000
"86",Murali nagar,MURALI NAGAR,,"900",GLSR,"38",Andhra Pradesh,"86",Vishakhapattanam,Vishakhapattanam,81000.00000000000
"87",Near panjabi hotel jecton,NEAR PANJABI HOTEL JECTON,,"1080",GLSR,"39",Andhra Pradesh,"87",Vishakhapattanam,Vishakhapattanam,97200.00000000000
"88",Andhrapraba press,ANDHRAPRABA PRESS,,"1000",GLSR,"39",Andhra Pradesh,"88",Vishakhapattanam,Vishakhapattanam,90000.00000000000
"89",Madhvadara Vuda Layout,MADHVADARA VUDA LAYOUT,,"225",ELSR,"39",Andhra Pradesh,"89",Vishakhapattanam,Vishakhapattanam,20250.00000000000
"90",Near R&B Office,NEAR R&B OFFICE,,"700",GLSR,"39",Andhra Pradesh,"90",Vishakhapattanam,Vishakhapattanam,63000.00000000000
"91",,,,"0",PWS,"39",Andhra Pradesh,"91",Vishakhapattanam,Vishakhapattanam,0.00000000000
"92",,,,"0",PWS,"67",Andhra Pradesh,"92",Vishakhapattanam,Vishakhapattanam,0.00000000000
"93",Marripalem Vuda Layout,MARRIPALEM VUDA LAYOUT,,"500",ELSR,"42",Andhra Pradesh,"93",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"94",Marripalem Vuda Layout,MARRIPALEM VUDA LAYOUT,,"225",GLSR,"42",Andhra Pradesh,"94",Vishakhapattanam,Vishakhapattanam,20250.00000000000
"95",,,,"0",PWS,"67",Andhra Pradesh,"95",Vishakhapattanam,Vishakhapattanam,0.00000000000
"96",,,,"0",WELL,"67",Andhra Pradesh,"96",Vishakhapattanam,Vishakhapattanam,0.00000000000
"97",,,,"0",PWS,"67",Andhra Pradesh,"97",Vishakhapattanam,Vishakhapattanam,0.00000000000
"98",,,,"0",WELL,"67",Andhra Pradesh,"98",Vishakhapattanam,Vishakhapattanam,0.00000000000
"99",Near Gopalapatnam,,,"160",GLSR,"67",Andhra Pradesh,"99",Vishakhapattanam,Vishakhapattanam,14400.00000000000
"100",Near Baji Jenction,NEAR BAJI JENCTION,,"50",GLSR,"67",Andhra Pradesh,"100",Vishakhapattanam,Vishakhapattanam,4500.00000000000
"101",APSEB Colony,APSEB COLONY,,"700",GLSR,"67",Andhra Pradesh,"101",Vishakhapattanam,Vishakhapattanam,63000.00000000000
"102",Buchirajpalem,BUCHIRAJPALEM,,"1080",GLSR,"67",Andhra Pradesh,"102",Vishakhapattanam,Vishakhapattanam,97200.00000000000
